CL-USER> (load "get_results.lisp")
 B    N       DFS     DFID_DFS     BEAM     DFID_BEAM 
 2    40   0.000032   0.000072   0.000036   0.000064  
 2    80   0.000044   0.000072    0.00006   0.000124  
 2   160   0.000092   0.000144   0.000124   0.000272  
 2   325   0.000188   0.000284   0.000244   0.000536  
 2   650   0.000368    0.00056   0.000496   0.001136  
 2   1250  0.000748   0.001072   0.000937   0.002212  
 2   2500  0.001488   0.002168   0.001424   0.003792  
 2   5000  0.003016   0.004289   0.001956    0.00648  
 4    40   0.000044   0.000048    0.00004   0.000068  
 4    80   0.000068   0.000084   0.000044   0.000076  
 4   160   0.000172   0.000176   0.000172   0.000316  
 4   325   0.000268   0.000356   0.000168   0.000344  
 4   650   0.000752   0.000696   0.000268   0.000593  
 4   1250  0.000976   0.001332   0.000312   0.000704  
 4   2500  0.002904   0.002624   0.000352   0.000972  
 4   5000  0.003908   0.005273   0.000376   0.000996  
 8    40    0.00006   0.000068    0.00004   0.000076  
 8    80   0.000764   0.000144   0.000052   0.000088  
 8   160   0.000456   0.000288   0.000148   0.000252  
 8   325   0.000532    0.00056   0.000188   0.000316  
 8   650   0.006268   0.001177   0.000212   0.000464  
 8   1250  0.004352    0.0022    0.000244   0.000552  
 8   2500  0.004332   0.004565   0.000256   0.000524  
 8   5000  0.052951   0.008581   0.000316    0.00076  
 16   40   0.000352   0.000136   0.000108   0.000172  
 16   80    0.00032   0.000268    0.00016   0.000224  
 16  160   0.000508   0.000512   0.000152   0.000236  
 16  325   0.010632   0.001012   0.000137   0.000276  
 16  650   0.006216   0.002036   0.000184    0.00034  
 16  1250   0.00522   0.003725   0.000188   0.000344  
 16  2500   0.0078    0.007601   0.000196   0.000376  
 16  5000  0.172394   0.015853   0.000208   0.000548  
 24   40   0.001545   0.000188   0.000124   0.000172  
 24   80   0.000856   0.000368   0.000204   0.000288  
 24  160   0.000876   0.000692   0.000256   0.000336  
 24  325   0.001432   0.001524   0.000276   0.000392  
 24  650   0.055524   0.002984   0.000232   0.000508  
 24  1250  0.032866   0.005892   0.000268   0.000552  
 24  2500  0.022254   0.011624    0.00028    0.00054  
 24  5000  0.025774   0.023045    0.0003    0.000553  
 48   40   0.000344   0.000372   0.000032   0.000052  
 48   80   0.012116   0.000732   0.000228   0.000324  
 48  160   0.007313    0.00142   0.000384    0.00056  
 48  325    0.00422   0.002816   0.000468   0.000645  
 48  650   0.006268    0.00572   0.000512   0.000728  
 48  1250  0.011325   0.011425    0.00052   0.000716  
 48  2500  0.931366   0.022417   0.000525    0.00118  
 48  5000   0.48695   0.046179   0.000532   0.001048  


Total time for all executions: 2142.914
T
CL-USER> (/ 2142.914 60)
35.715233
