b n dfs dfid_dfs beam dfid_beam

2 40 0.000052 0.000052 0.000036 0.000076 
2 80 0.00006 0.000092 0.000084 0.000168 
2 160 0.000116 0.000192 0.000156 0.000368 
2 325 0.000244 0.000372 0.000332 0.000748 
2 650 0.000492 0.000744 0.000672 0.00158 
2 1250 0.001012 0.001405 0.001292 0.003128 
2 2500 0.002004 0.00294 0.001968 0.005357 
2 5000 0.004064 0.00578 0.002732 0.009193 
4 40 0.000056 0.00006 0.000052 0.0001 
4 80 0.000084 0.000116 0.000056 0.000112 
4 160 0.000232 0.000236 0.000232 0.000428 
4 325 0.000356 0.000472 0.000224 0.000476 
4 650 0.001044 0.00098 0.000352 0.000816 
4 1250 0.001364 0.001853 0.000416 0.000964 
4 2500 0.003916 0.003544 0.000476 0.001348 
4 5000 0.005365 0.007408 0.000504 0.001392 
8 40 0.000088 0.000096 0.00006 0.000096 
8 80 0.001064 0.000204 0.000068 0.00012 
8 160 0.000636 0.000396 0.0002 0.000328 
8 325 0.000768 0.000764 0.00026 0.00042 
8 650 0.008929 0.001612 0.000296 0.000664 
8 1250 0.005937 0.003 0.000304 0.000672 
8 2500 0.005748 0.006137 0.00032 0.000676 
8 5000 0.073028 0.012101 0.000396 0.001044 
16 40 0.0005 0.00018 0.000148 0.000236 
16 80 0.000452 0.000364 0.000216 0.000312 
16 160 0.0007 0.000712 0.000216 0.000312 
16 325 0.015037 0.001448 0.000188 0.000392 
16 650 0.008773 0.00284 0.000232 0.000452 
16 1250 0.007573 0.005388 0.00026 0.000484 
16 2500 0.011249 0.011036 0.000268 0.000504 
16 5000 0.242296 0.022325 0.000288 0.000776 
24 40 0.002268 0.000264 0.000168 0.00024 
24 80 0.001272 0.000532 0.00028 0.000396 
24 160 0.001248 0.001029 0.000348 0.000476 
24 325 0.002064 0.00222 0.000376 0.00052 
24 650 0.079169 0.004188 0.000304 0.000668 
24 1250 0.046559 0.008225 0.00036 0.000728 
24 2500 0.031254 0.016273 0.000388 0.000748 
24 5000 0.03729 0.033046 0.0004 0.00074 
48 40 0.000496 0.000492 0.000044 0.000064 
48 80 0.017117 0.001004 0.0003 0.000444 
48 160 0.010321 0.001988 0.000516 0.000744 
48 325 0.005941 0.00394 0.000616 0.00088 
48 650 0.008769 0.008036 0.000668 0.000964 
48 1250 0.015809 0.016017 0.000696 0.000996 
48 2500 1.317191 0.031261 0.000657 0.001524 
48 5000 0.684482 0.064524 0.000736 0.001449 
